Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000008,41,234,0.000005,51,100,0.000020,18,172,
Sample02,0.000006,32,172,0.000006,49,86,0.000019,23,182,
Sample03,0.000007,33,174,0.000005,49,94,0.000020,21,178,
Sample04,0.000005,34,176,0.000005,62,107,0.000019,24,184,
Sample05,0.000005,28,136,0.000004,47,80,0.000017,24,184,
Sample06,0.000005,25,118,0.000004,53,90,0.000016,24,184,
Sample07,0.000006,28,136,0.000005,49,90,0.000017,21,178,
Sample08,0.000004,28,144,0.000022,44,69,0.000018,21,178,
Sample09,0.000006,32,164,0.000006,49,94,0.000019,22,180,
Sample10,0.000006,29,154,0.000005,52,85,0.000017,23,182,
